Timestamp,Server_Workload,Inlet_Temperature,Outlet_Temperature,Ambient_Temperature,Cooling_Unit_Power_Consumption_kW,Chiller_Usage,AHU_Usage,Total_Energy_Cost,Temperature_Deviation,Cooling_Strategy_Action,Output,Hour,DayOfWeek,Month,Cooling_Strategy_Encoded,Cooling_Efficiency,Cooling_Ratio,Ambient_Inlet_Delta,Energy_per_Workload,Water_Usage_Estimate,Heat_Load_Index,Thermal_Load,Cooling_Load,Total_Cooling_Load,Cooling_Intensity,Cooling_Power_Load,Cooling_Power_Usage
2025-01-01 00:00:00,100.0,24.72632281593243,28.469323873263708,21.42445350887121,0.98,94.20585896690616,45.46291098823596,0.09,2.58,Reduce AHU,1,0,2,1,4,1.3966876855845445,2.072147490052617,3.301869307061221,0.0008999999910000001,0.2826175769007185,24.72632281593243,2472.632281593243,9420.585896690616,139.66876995514212,1.3966876855845445,98.0,92.32174178756804
2025-01-01 01:00:00,87.35899263047313,23.08526213531408,29.85436366471003,26.420270951892125,0.95,85.77699619269852,53.185858261949576,0.1,2.42,Eco Mode,4,1,2,1,1,1.5907103399388771,1.6127782343466888,-3.3350088165780463,0.001144701831422167,0.27560497498305325,20.16705244751443,2016.705244751443,7493.3919782620715,138.9628544546481,1.5907103399388771,82.99104299894947,81.4881463830636
2025-01-01 02:00:00,19.31379966079001,16.288791406000026,23.38184600676756,21.45217187808368,0.43,28.148671834157703,40.833469322981934,0.06,2.55,Eco Mode,4,2,2,1,1,3.5716502602817064,0.6893529159169958,-5.163380472083652,0.0031065868936821553,0.08444601550247312,3.1459845393188255,314.59845393188255,543.6578085222444,68.98214115713964,3.5716502602817064,8.304933854139705,12.103928888687813
2025-01-01 03:00:00,41.40667955013878,19.217280242427403,24.32369857972349,19.200411971860184,0.61,49.30022744992615,42.490921640474454,0.08,4.8,Boost All,3,3,2,1,0,2.216819795038918,1.160253164353874,0.016868270567218957,0.0019320553818152387,0.14790068234977843,7.957237648234049,795.7237648234048,2041.3587197680476,91.79114909040061,2.216819795038918,25.258074525584657,30.073138744454948
2025-01-01 04:00:00,49.514888570773024,19.991739982875472,23.20554343728745,26.7685031566425,0.69,49.65612686523112,58.10088982561873,0.1,2.77,Eco Mode,4,4,2,1,1,2.1762548119355034,0.8546534512571705,-6.776763173767026,0.0020195945273606478,0.1621409331618636,9.898887775879468,989.8887775879468,2458.717588588088,107.75701669084985,2.1762548119355034,34.165273113833386,34.262727537009475
2025-01-01 05:00:00,50.2218958956809,19.0734436931662,22.237347158581848,27.58365461682685,0.69,49.052331427797746,58.55161088125232,0.07,3.58,Boost All,3,5,2,1,0,2.1425702524251737,0.8377622724935407,-8.510210923660647,0.001393814338502615,0.1661671366673258,9.579045035303244,957.9045035303244,2463.501082407295,107.60394230905007,2.1425702524251737,34.65310816801982,33.84610868518044
2025-01-01 06:00:00,36.096725367015814,18.655843599517898,23.00747270037926,18.0,0.5,40.12962584114472,35.56276410068109,0.06,6.0,Maintain,2,6,2,1,3,2.0969322584053334,1.1284169194249793,0.6558435995178975,0.0016622005937587275,0.12038887752343418,6.734148629017973,673.4148629017973,1448.548083068902,75.69238994182581,2.0969322584053334,18.048362683507907,20.06481292057236
2025-01-01 07:00:00,53.263935487717475,19.47800594347663,22.65609861516216,23.431236624196913,0.7,59.68979063958502,45.39935452675918,0.09,0.57,Boost All,3,7,2,1,0,1.972988706731758,1.3147717615595402,-3.9532306807202815,0.001689698620393064,0.17906937191875508,10.374752520027169,1037.4752520027168,3179.313157902219,105.0891451663442,1.972988706731758,37.28475484140223,41.78285344770951
2025-01-01 08:00:00,95.95380398837662,24.535217804113127,33.83406110738038,23.86386675666063,0.96,93.72293440373566,42.84128757255475,0.13,0.14,Reduce AHU,1,8,2,1,4,1.4232288338417964,2.1876777642906156,0.6713510474524966,0.001354818602719794,0.281168803211207,23.542474799879994,2354.247479987999,8993.072076991532,136.5642219762904,1.4232288338417964,92.11565182884155,89.97401702758623
2025-01-01 09:00:00,57.35860653362174,22.01576264158844,23.50859526736211,19.101937636095847,0.74,66.73633177363368,42.02489987117692,0.08,4.9,Increase Chiller,0,9,2,1,2,1.8961623428717014,1.5880187791092513,2.913825005492594,0.001394733997911414,0.20020899532090106,12.627934668964802,1262.7934668964801,3827.902995701093,108.76123164481061,1.8961623428717014,42.445368834880085,49.38488551248892
